rank,	letter,	count,	percentage
01,		 s,		6665,	10.2760%
02,		 e,		6662,	10.2714%
03,		 a,		5990,	9.2353%
04,		 o,		4438,	6.8424%
05,		 r,		4158,	6.4107%
06,		 i,		3759,	5.7956%
07,		 l,		3371,	5.1973%
08,		 t,		3295,	5.0802%
09,		 n,		2952,	4.5513%
10,		 u,		2511,	3.8714%
11,		 d,		2453,	3.7820%
12,		 y,		2074,	3.1977%
13,		 c,		2028,	3.1267%
14,		 p,		2019,	3.1129%
15,		 m,		1976,	3.0466%
16,		 h,		1760,	2.7135%
17,		 g,		1644,	2.5347%
18,		 b,		1627,	2.5085%
19,		 k,		1505,	2.3204%
20,		 f,		1115,	1.7191%
21,		 w,		1039,	1.6019%
22,		 v,		694,	1.0700%
23,		 z,		434,	0.6691%
24,		 j,		291,	0.4487%
25,		 x,		288,	0.4440%
26,		 q,		112,	0.1727%
