rank,	letter,	position,	count,	percentage
001,		 s,		 4,		3958,		6.1024%
002,		 e,		 3,		2327,		3.5877%
003,		 a,		 1,		2263,		3.4891%
004,		 o,		 1,		2096,		3.2316%
005,		 e,		 1,		1628,		2.5100%
006,		 s,		 0,		1565,		2.4129%
007,		 e,		 4,		1522,		2.3466%
008,		 i,		 1,		1383,		2.1323%
009,		 y,		 4,		1301,		2.0059%
010,		 a,		 2,		1236,		1.9056%
011,		 r,		 2,		1198,		1.8471%
012,		 u,		 1,		1187,		1.8301%
013,		 a,		 3,		1074,		1.6559%
014,		 i,		 2,		1051,		1.6204%
015,		 o,		 2,		993,		1.5310%
016,		 n,		 2,		964,		1.4863%
017,		 r,		 1,		940,		1.4493%
018,		 c,		 0,		922,		1.4215%
019,		 b,		 0,		909,		1.4015%
020,		 t,		 3,		898,		1.3845%
021,		 e,		 2,		882,		1.3599%
022,		 i,		 3,		880,		1.3568%
023,		 p,		 0,		859,		1.3244%
024,		 l,		 2,		848,		1.3074%
025,		 d,		 4,		823,		1.2689%
026,		 t,		 0,		815,		1.2566%
027,		 n,		 3,		788,		1.2149%
028,		 l,		 3,		771,		1.1887%
029,		 a,		 0,		737,		1.1363%
030,		 t,		 4,		727,		1.1209%
031,		 r,		 3,		719,		1.1085%
032,		 l,		 1,		699,		1.0777%
033,		 o,		 3,		698,		1.0762%
034,		 m,		 0,		693,		1.0685%
035,		 d,		 0,		685,		1.0561%
036,		 a,		 4,		680,		1.0484%
037,		 r,		 4,		673,		1.0376%
038,		 u,		 2,		667,		1.0284%
039,		 g,		 0,		638,		0.9837%
040,		 r,		 0,		628,		0.9682%
041,		 t,		 2,		616,		0.9497%
042,		 f,		 0,		598,		0.9220%
043,		 l,		 0,		577,		0.8896%
044,		 h,		 1,		546,		0.8418%
045,		 s,		 2,		533,		0.8218%
046,		 n,		 4,		530,		0.8171%
047,		 s,		 3,		516,		0.7956%
048,		 m,		 2,		511,		0.7879%
049,		 k,		 3,		503,		0.7755%
050,		 h,		 0,		489,		0.7539%
051,		 l,		 4,		476,		0.7339%
052,		 d,		 3,		471,		0.7262%
053,		 g,		 3,		423,		0.6522%
054,		 p,		 3,		418,		0.6445%
055,		 w,		 0,		413,		0.6368%
056,		 c,		 3,		411,		0.6337%
057,		 m,		 3,		402,		0.6198%
058,		 u,		 3,		401,		0.6183%
059,		 c,		 2,		392,		0.6044%
060,		 d,		 2,		390,		0.6013%
061,		 o,		 4,		389,		0.5998%
062,		 k,		 0,		376,		0.5797%
063,		 h,		 4,		370,		0.5705%
064,		 g,		 2,		364,		0.5612%
065,		 p,		 2,		364,		0.5612%
066,		 n,		 1,		345,		0.5319%
067,		 b,		 2,		335,		0.5165%
068,		 n,		 0,		325,		0.5011%
069,		 e,		 0,		303,		0.4672%
070,		 i,		 4,		280,		0.4317%
071,		 k,		 2,		272,		0.4194%
072,		 w,		 2,		271,		0.4178%
073,		 y,		 1,		271,		0.4178%
074,		 o,		 0,		262,		0.4039%
075,		 k,		 4,		259,		0.3993%
076,		 b,		 3,		243,		0.3747%
077,		 v,		 0,		242,		0.3731%
078,		 v,		 2,		240,		0.3700%
079,		 t,		 1,		239,		0.3685%
080,		 h,		 3,		235,		0.3623%
081,		 f,		 3,		233,		0.3592%
082,		 p,		 1,		231,		0.3562%
083,		 y,		 2,		213,		0.3284%
084,		 j,		 0,		202,		0.3114%
085,		 u,		 0,		189,		0.2914%
086,		 m,		 1,		188,		0.2899%
087,		 m,		 4,		182,		0.2806%
088,		 y,		 0,		181,		0.2791%
089,		 f,		 2,		178,		0.2744%
090,		 c,		 1,		176,		0.2714%
091,		 i,		 0,		165,		0.2544%
092,		 w,		 1,		163,		0.2513%
093,		 v,		 3,		156,		0.2405%
094,		 p,		 4,		147,		0.2266%
095,		 g,		 4,		143,		0.2205%
096,		 z,		 2,		142,		0.2189%
097,		 x,		 2,		133,		0.2051%
098,		 w,		 3,		128,		0.1973%
099,		 c,		 4,		127,		0.1958%
100,		 z,		 3,		126,		0.1943%
101,		 h,		 2,		120,		0.1850%
102,		 y,		 3,		108,		0.1665%
103,		 z,		 0,		105,		0.1619%
104,		 k,		 1,		95,		0.1465%
105,		 s,		 1,		93,		0.1434%
106,		 d,		 1,		84,		0.1295%
107,		 f,		 4,		82,		0.1264%
108,		 b,		 1,		81,		0.1249%
109,		 q,		 0,		78,		0.1203%
110,		 g,		 1,		76,		0.1172%
111,		 x,		 4,		70,		0.1079%
112,		 u,		 4,		67,		0.1033%
113,		 w,		 4,		64,		0.0987%
114,		 b,		 4,		59,		0.0910%
115,		 x,		 1,		57,		0.0879%
116,		 v,		 1,		52,		0.0802%
117,		 j,		 2,		46,		0.0709%
118,		 z,		 4,		32,		0.0493%
119,		 j,		 3,		29,		0.0447%
120,		 z,		 1,		29,		0.0447%
121,		 f,		 1,		24,		0.0370%
122,		 x,		 0,		16,		0.0247%
123,		 q,		 1,		15,		0.0231%
124,		 q,		 2,		13,		0.0200%
125,		 x,		 3,		12,		0.0185%
126,		 j,		 1,		11,		0.0170%
127,		 q,		 4,		4,		0.0062%
128,		 v,		 4,		4,		0.0062%
129,		 j,		 4,		3,		0.0046%
130,		 q,		 3,		2,		0.0031%
